name,address,timing,phone
Nykaa On Trend - Nykaa Kiosk City Center Siliguri ,"Nykaa Kiosk 75, Ground floor, Next to UCB store, city center, Uttaroyon, Matigara, Siliguri",10:00 AM - 09:30 PM,
Nykaa On Trend - Nykaa On Trend Rajahmundry ,"""Nykaa ON Trend, D.NO.79-08-21, BESIDE DIVYA HOSPITAL,OLD SOMALAMMA TEMPLE ROAD,POSTAL COLONY,REVENUE WARD N0-30,RAJAHMUNDRY, ANDHRA PRADESH",10:00 AM - 09:30 PM,
Nykaa Kiosk - Nykaa Kiosk Lulu Mall Kochi ,"Nykaa Kiosk, Ground floor, K-07, Lulu International Shopping Mall Pvt. Ltd TC 91/270, Akkulam Bridge, Anayara Post, Thiruvananthapuram, Kerala 695029",10:00 AM - 10:00 PM,
Nykaa Kiosk - Nykaa Kiosk Garuda Mall Bangalore ,"Nykaa Kiosk,Garuda Mall, XJC5+4X4, Magrath Rd, Ashok Nagar, Bengaluru, Karnataka 560025",10:00 AM - 10:00 PM,
Nykaa Kiosk - Nykaa Kiosk Viviana Mall ,"Nykaa Kiosk, KF 02, 1st Floor of the Mall , Viviana Mall On Eastern Express Highway, service road, Thane West",10:00 AM - 10:00 PM,
Nykaa Kiosk - Nykaa Kiosk Sujana Mall Hyderabad ,"Nexus Sujana Mall ,Kukatpally Housing Board Colony, Kukatpally, Hyderabad, Telangana 500085",09:30 AM - 10:00 AM,
Nykaa Luxe - Nykaa Luxe Pacific Mall Jasola ,"Nykaa Luxe, Ground Floor, Pacific Mall, Jasola, Apollo Metro Station , Sarita Vihar, Mathura Road , New Delhi ? 110044",09:30 AM - 10:00 AM,
Nykaa Kiosk - Nykaa Kiosk Star Mall Kolkata ,"Nykaa Kiosk, 4/Mall/A, Jessore Road Madhyamgram, Sisir Kunja, Barasat, West Bengal 700129",10:00 AM - 10:00 PM,
"Nykaa Kiosk - Nykaa Kiosk Elante Mall, Chandigarh ","Nykaa Kiosk, Ground Floor, Plot No.178-178A, Industrial and Business Park,PHASE I,Chandigarh, 160002",10:00 AM - 10:00 PM,
Nykaa Luxe - Nykaa Luxe T2 Mumbai Airport ,"Nykaa Luxe, Unit 3045, Level 3 Terminal 2 Domestic SHA, Mumbai International Airport, Sahar Road, Andheri East",12:00 PM - 11:00 PM,
Nykaa Kiosk - Nykaa Kiosk Pavillion Mall ,"Nykaa Kiosk, B-I, 1258, Kailash Cinema Rd,Civil Lines, Ludhiana, Punjab",10:00 AM - 09:00 PM,
Nykaa On Trend - Nykaa On Trend Sonipat ,"Building/Plot/Shop No. 213 L, Model Town (Next to Levis), Ground Floor & First Floor, Altas Road, Sonipat, Haryana,131001",10:00 AM - 09:30 PM,
Nykaa Kiosk - Nykaa Kiosk Infiniti Malad ,"Nykaa Kiosk, Infiniti Mall Malad, Malad, Mindspace, Malad West, Mumbai, Maharashtra",10:00 AM - 09:00 PM,
Nykaa On Trend - Nykaa On Trend Karnal HS ,"Nykaa On Trend, Shop no 18/336/443 near Miglani Hospital, Kunjpura Road Karnal, Haryana",10:00 AM - 08:30 PM,
"Nykaa On Trend - Nykaa On Trend Himayath Nagar, Hyderabad ","Nykaa On Trend, Ground Floor of Building consisting of G-3 Floors, House No. 3-6-522/B,T.S. No. 11/2, Block -F, Himayat Nagar, Hyderabad, Telangana,500029",09:30 AM - 10:00 AM,
Nykaa On Trend - Nykaa On Trend Bathinda HS ,"NH7 Factory Outlet, Shop No 131A & AMP; B Barnala Highway Road - NH -07, Opposite Walmart, Mc Donalds & AMP; KFC Village- Bhucho Khurd Post Office- Bhucho Mandi Pin Code-151101 Bathinda Punjab",10:00 AM - 09:00 AM,
Nykaa Luxe - Nykaa Luxe Palladium Mall Ahmedabad  ,"Nykaa Luxe, F-02, First Floor, Palladium Mall, SG Highway, Final Plot No 1 of Thaltej, Revenue Village, Ahmedabad ",11:00 AM - 10:00 PM,
